depth,ion,spr,dose
58.2,70.5,1.071,74.6
58.3,70.2,1.071,74.4
58.4,69.9,1.072,74.1
58.5,69.7,1.072,73.9
58.6,69.4,1.072,73.6
58.7,69.1,1.072,73.3
58.8,68.9,1.073,73.0
58.9,68.7,1.073,72.9
59.0,68.4,1.073,72.6
59.1,68.2,1.073,72.4
59.2,68.0,1.073,72.2
59.3,67.7,1.074,71.9
59.4,67.5,1.074,71.7
59.5,67.4,1.074,71.6
59.6,67.1,1.074,71.3
59.7,66.9,1.075,71.1
59.8,66.7,1.075,70.9
59.9,66.5,1.075,70.7
60.0,66.2,1.075,70.4
60.1,65.9,1.076,70.1
60.2,65.7,1.076,69.9
60.3,65.4,1.076,69.6
60.4,65.1,1.076,69.3
60.5,64.8,1.076,69.0
60.6,64.5,1.077,68.7
60.7,64.3,1.077,68.4
60.8,64.0,1.077,68.2
60.9,63.7,1.077,67.9
61.0,63.3,1.078,67.5
61.1,63.0,1.078,67.2
61.2,62.7,1.078,66.8
61.3,62.3,1.078,66.4
61.4,61.9,1.079,66.0
61.5,61.6,1.079,65.8
61.6,61.3,1.079,65.4
61.7,60.9,1.079,65.0
61.8,60.5,1.08,64.6
61.9,60.2,1.08,64.3
62.0,59.9,1.08,64.0
62.1,59.7,1.08,63.7
62.2,59.5,1.08,63.6
62.3,59.2,1.081,63.3
62.4,58.9,1.081,63.0
62.5,58.7,1.081,62.8
62.6,58.4,1.081,62.5
62.7,58.2,1.082,62.2
62.8,58.0,1.082,62.0
62.9,57.7,1.082,61.7
63.0,57.4,1.082,61.5
63.1,57.0,1.083,61.1
63.2,56.7,1.083,60.7
63.3,56.3,1.083,60.3
63.4,56.0,1.083,60.0
63.5,55.6,1.084,59.6
63.6,55.3,1.084,59.2
63.7,54.9,1.084,58.8
63.8,54.5,1.084,58.4
63.9,54.1,1.085,58.1
64.0,53.8,1.085,57.8
64.1,53.5,1.085,57.4
64.2,53.2,1.085,57.1
64.3,52.8,1.085,56.7
64.4,52.5,1.086,56.4
64.5,52.2,1.086,56.0
64.6,51.8,1.086,55.6
64.7,51.5,1.086,55.3
64.8,51.1,1.087,54.9
64.9,50.8,1.087,54.7
65.0,50.6,1.087,54.4
65.1,50.3,1.087,54.1
65.2,50.0,1.088,53.8
65.3,49.7,1.088,53.5
65.4,49.4,1.088,53.2
65.5,49.2,1.088,52.9
65.6,48.9,1.089,52.6
65.7,48.6,1.089,52.3
65.8,48.3,1.089,52.0
65.9,48.0,1.089,51.7
66.0,47.7,1.09,51.5
66.1,47.4,1.09,51.1
66.2,47.0,1.09,50.7
66.3,46.6,1.09,50.3
66.4,46.2,1.091,49.9
66.5,46.0,1.091,49.6
